Region_Size,state_slugs,nº_cities,registered,computerized,geo_referenced,public_access,update_1_year_or_less,update_1_year_or_less,update_on_demand,properties,residential_properties,non_residential,with_iptu,value_plant,value_plant_informatized,value_plant_last_10_years,isqn,issqn_informatized
Brasil,Brasil,5570.0,5203,4458,1161,1924,1160,2021,2917,78979802,50480592,20151376,5268,4504,3114,2636,5406,4918
Norte,Norte,450.0,392,293,84,170,90,124,215,5381855,3856086,1006578,393,365,227,220,433,364
Rondônia,RO,52.0,51,41,23,26,10,18,31,500613,239352,90757,51,50,37,37,51,48
Acre,AC,22.0,21,18,4,8,2,13,7,160225,79927,47096,22,19,16,11,21,20
Amazonas,AM,62.0,49,34,8,22,14,12,28,770060,561702,130409,48,39,17,19,56,43
Roraima,RR,15.0,10,9,5,7,2,1,7,95111,72463,22648,8,12,8,7,14,12
Pará,PA,144.0,125,92,23,51,35,50,60,3086723,2471759,528862,129,113,73,52,137,117
Amapá,AP,16.0,11,9,2,3,2,9,0,157611,121758,35853,11,12,4,5,16,10
Tocantins,TO,139.0,125,90,19,53,25,21,82,611512,309125,150953,124,120,72,89,138,114
Nordeste,Nordeste,1794.0,1507,1215,247,556,310,633,823,17291103,10072140,4596235,1562,1143,763,668,1675,1432
Maranhão,MA,217.0,86,50,19,28,13,27,57,1112681,717207,222704,110,90,47,55,181,100
Piauí,PI,224.0,157,108,9,47,36,71,85,901738,536703,251533,160,122,77,71,210,178
Ceará,CE,184.0,176,156,46,53,34,79,101,2616918,1387221,698912,180,137,101,79,179,170
Rio Grande do Norte,RN,167.0,147,123,32,74,30,37,101,1332399,820517,406971,143,104,70,73,160,134
Paraíba,PB,223.0,191,152,27,50,44,95,74,1339868,854864,364598,207,121,63,57,193,156
Pernambuco,PE,185.0,182,156,24,86,43,87,114,3843248,2169692,1348173,184,129,90,79,178,161
Alagoas,AL,102.0,96,70,16,39,23,35,49,862635,601834,133282,98,53,39,32,98,88
Sergipe,SE,75.0,68,53,7,22,10,29,41,674303,429436,147026,72,43,24,24,72,69
Bahia,BA,417.0,404,347,67,157,77,173,201,4607313,2554666,1023036,408,344,252,198,404,376
Sudeste,Sudeste,1668.0,1655,1481,411,570,381,588,972,34260609,23194320,8128914,1662,1444,979,794,1654,1575
Minas Gerais,MG,853.0,842,747,132,238,145,282,532,8672162,5710009,2289522,848,695,467,377,839,795
Espírito Santo,ES,78.0,78,64,18,27,17,27,47,1575105,1086525,456232,78,59,37,18,78,74
Rio de Janeiro,RJ,92.0,92,80,24,29,19,42,60,6503912,4536640,1881014,92,83,59,40,92,90
São Paulo,SP,645.0,643,590,237,276,200,237,333,17509430,11861146,3502146,644,607,416,359,645,616
Sul,Sul,1191.0,1189,1063,304,406,267,499,677,14145750,9514311,3735965,1191,1129,825,626,1181,1111
Paraná,PR,399.0,399,347,89,153,74,174,214,4603844,3073764,1177938,399,381,268,204,395,381
Santa Catarina,SC,295.0,295,275,103,127,68,125,177,3988164,2682434,1189105,295,286,208,154,295,282
Rio Grande do Sul,RS,497.0,495,441,112,126,125,200,286,5553742,3758113,1368922,497,462,349,268,491,448
Centro-Oeste,Centro-Oeste,467.0,460,406,115,222,112,177,230,7900485,3843735,2683684,460,423,320,328,463,436
Mato Grosso do Sul,MS,79.0,79,67,23,44,26,27,36,1252130,702582,310126,79,76,56,63,79,76
Mato Grosso,MT,141.0,140,124,45,58,34,64,64,1553377,1037753,478314,141,132,110,110,140,135
Goiás,GO,246.0,240,214,46,119,51,86,129,4136510,1951713,1088463,239,214,153,154,243,224
Distrito Federal,DF,1.0,1,1,1,1,1,0,1,958468,151687,806781,1,1,1,1,1,1
